RADAR RUNNER 30m LOSERS — terminal badge spec (RR_TP_FRAC=0.25%, candle-SL 0.3% cap, MINVISIT=1)

====================================================================================================
RADAR RUNNER 30m CLOCK (30m)  |  entry=close, SL=candle+0.3%cap, TP=0.25%  |  fired signals=705
  win-rate: per-badge=91.1%  non-overlap(taken n=659)=91.5%   ->  LOSERS=63 (8.9% of badges)  [SL=63, timeout-neg=0]
  by year:  2025: 35 losers / 455 badges   2026: 28 losers / 250 badges
----------------------------------------------------------------------------------------------------
  #   | FIRE UTC (end)   | local+1     | side  | entry     | SL        | TP        | bars | out | R      
  35  | 2025-12-29 18:00 | 12-29 19:00 | LONG  |   123.830 |   122.721 |   124.140 |   15 | SL  | -1.11
  36  | 2026-01-01 16:30 | 01-01 17:30 | SHORT |   124.520 |   125.335 |   124.209 |    3 | SL  | -1.15
  37  | 2026-01-05 17:30 | 01-05 18:30 | SHORT |   134.540 |   135.917 |   134.204 |    1 | SL  | -1.10
  38  | 2026-01-16 07:30 | 01-16 08:30 | SHORT |   142.790 |   143.690 |   142.433 |   10 | SL  | -1.16
  39  | 2026-01-20 20:30 | 01-20 21:30 | LONG  |   127.800 |   126.549 |   128.119 |    5 | SL  | -1.10
  40  | 2026-02-22 00:30 | 02-22 01:30 | SHORT |    84.860 |    85.436 |    84.648 |    4 | SL  | -1.15
  41  | 2026-02-22 05:30 | 02-22 06:30 | SHORT |    84.940 |    85.415 |    84.728 |    5 | SL  | -1.18
  42  | 2026-03-14 15:00 | 03-14 16:00 | SHORT |    86.660 |    87.281 |    86.443 |   14 | SL  | -1.14
  43  | 2026-03-14 18:00 | 03-14 19:00 | SHORT |    86.820 |    87.271 |    86.603 |    8 | SL  | -1.19
  44  | 2026-03-27 04:30 | 03-27 05:30 | SHORT |    86.000 |    86.639 |    85.785 |    2 | SL  | -1.13
  45  | 2026-04-10 10:30 | 04-10 11:30 | SHORT |    83.200 |    83.750 |    82.992 |    4 | SL  | -1.15
  46  | 2026-04-19 07:30 | 04-19 08:30 | SHORT |    84.520 |    85.646 |    84.309 |    9 | SL  | -1.08
  47  | 2026-04-19 14:00 | 04-19 15:00 | SHORT |    86.270 |    86.908 |    86.054 |    1 | SL  | -1.14
  48  | 2026-04-25 13:30 | 04-25 14:30 | LONG  |    86.510 |    86.071 |    86.726 |    6 | SL  | -1.20
  49  | 2026-04-26 03:30 | 04-26 04:30 | SHORT |    85.970 |    86.699 |    85.755 |    3 | SL  | -1.12
  50  | 2026-05-01 18:00 | 05-01 19:00 | LONG  |    84.190 |    83.628 |    84.400 |    6 | SL  | -1.15
  51  | 2026-05-08 00:00 | 05-08 01:00 | LONG  |    88.400 |    87.886 |    88.621 |    3 | SL  | -1.17
  52  | 2026-05-08 23:30 | 05-09 00:30 | SHORT |    91.910 |    92.547 |    91.680 |    3 | SL  | -1.14
  53  | 2026-05-11 08:30 | 05-11 09:30 | SHORT |    94.580 |    95.626 |    94.344 |   12 | SL  | -1.09
  54  | 2026-05-18 05:00 | 05-18 06:00 | LONG  |    85.210 |    84.386 |    85.423 |    3 | SL  | -1.10
  55  | 2026-05-20 08:00 | 05-20 09:00 | SHORT |    84.710 |    85.225 |    84.498 |   10 | SL  | -1.16
  56  | 2026-05-20 16:30 | 05-20 17:30 | SHORT |    85.620 |    86.349 |    85.406 |    1 | SL  | -1.12
  57  | 2026-05-21 17:30 | 05-21 18:30 | LONG  |    87.770 |    85.872 |    87.989 |   51 | SL  | -1.05
  58  | 2026-06-12 01:30 | 06-12 02:30 | SHORT |    66.480 |    67.030 |    66.314 |    2 | SL  | -1.12
  59  | 2026-06-22 04:00 | 06-22 05:00 | SHORT |    73.470 |    74.252 |    73.286 |    7 | SL  | -1.09
  60  | 2026-06-25 13:00 | 06-25 14:00 | LONG  |    68.260 |    67.617 |    68.431 |    2 | SL  | -1.11
  61  | 2026-06-25 14:00 | 06-25 15:00 | SHORT |    64.190 |    68.605 |    64.030 |   20 | SL  | -1.01
  62  | 2026-06-26 04:30 | 06-26 05:30 | SHORT |    68.080 |    68.565 |    67.910 |    4 | SL  | -1.14
  63  | 2026-06-29 12:00 | 06-29 13:00 | SHORT |    72.500 |    73.430 |    72.319 |    1 | SL  | -1.08

====================================================================================================
RADAR RUNNER 30m BUCKET (volume-paced) (30m)  |  entry=close, SL=candle+0.3%cap, TP=0.25%  |  fired signals=2248
  win-rate: per-badge=94.6%  non-overlap(taken n=2066)=94.6%   ->  LOSERS=121 (5.4% of badges)  [SL=121, timeout-neg=0]
  by year:  2025: 62 losers / 1441 badges   2026: 59 losers / 807 badges
----------------------------------------------------------------------------------------------------
  #   | FIRE UTC (end)   | local+1     | side  | entry     | SL        | TP        | bars | out | R      
  1   | 2025-01-19 15:39 | 01-19 16:39 | LONG  |   271.850 |   264.524 |   272.530 |    3 | SL  | -1.04
  2   | 2025-02-02 23:26 | 02-03 00:26 | SHORT |   196.940 |   203.599 |   196.448 |    4 | SL  | -1.03
  3   | 2025-02-03 21:08 | 02-03 22:08 | SHORT |   210.830 |   213.398 |   210.303 |    1 | SL  | -1.08
  4   | 2025-02-18 14:26 | 02-18 15:26 | LONG  |   170.400 |   168.284 |   170.826 |    1 | SL  | -1.08
  5   | 2025-02-28 10:37 | 02-28 11:37 | SHORT |   130.230 |   131.975 |   129.904 |    3 | SL  | -1.07
  6   | 2025-03-02 03:29 | 03-02 04:29 | LONG  |   144.340 |   142.441 |   144.701 |    5 | SL  | -1.08
  7   | 2025-03-02 16:08 | 03-02 17:08 | SHORT |   163.170 |   166.999 |   162.762 |    3 | SL  | -1.04
  8   | 2025-03-21 09:21 | 03-21 10:21 | LONG  |   128.770 |   127.317 |   129.092 |    3 | SL  | -1.09
  9   | 2025-03-27 17:37 | 03-27 18:37 | SHORT |   137.390 |   138.926 |   137.047 |    2 | SL  | -1.09
  10  | 2025-04-11 14:10 | 04-11 15:10 | LONG  |   120.880 |   118.852 |   121.182 |    3 | SL  | -1.06
  11  | 2025-04-12 16:22 | 04-12 17:22 | LONG  |   131.050 |   129.431 |   131.378 |    2 | SL  | -1.08
  12  | 2025-04-21 23:56 | 04-22 00:56 | LONG  |   136.700 |   135.213 |   137.042 |    3 | SL  | -1.09
  13  | 2025-04-23 22:34 | 04-23 23:34 | LONG  |   151.410 |   149.909 |   151.789 |    3 | SL  | -1.10
  14  | 2025-04-25 21:47 | 04-25 22:47 | SHORT |   149.780 |   151.954 |   149.406 |    4 | SL  | -1.07
  15  | 2025-05-07 23:46 | 05-08 00:46 | SHORT |   147.240 |   148.584 |   146.872 |    2 | SL  | -1.11
  16  | 2025-05-12 02:56 | 05-12 03:56 | SHORT |   173.280 |   175.375 |   172.847 |    4 | SL  | -1.08
  17  | 2025-05-27 07:16 | 05-27 08:16 | SHORT |   174.170 |   175.445 |   173.735 |    1 | SL  | -1.14
  18  | 2025-05-30 09:40 | 05-30 10:40 | SHORT |   161.500 |   163.489 |   161.096 |    4 | SL  | -1.08
  19  | 2025-05-31 02:26 | 05-31 03:26 | LONG  |   154.470 |   152.915 |   154.856 |    1 | SL  | -1.10
  20  | 2025-05-31 10:44 | 05-31 11:44 | SHORT |   152.820 |   155.174 |   152.438 |    5 | SL  | -1.06
  21  | 2025-06-05 14:46 | 06-05 15:46 | LONG  |   151.330 |   149.022 |   151.708 |    5 | SL  | -1.07
  22  | 2025-06-10 15:34 | 06-10 16:34 | SHORT |   156.590 |   158.123 |   156.199 |    2 | SL  | -1.10
  23  | 2025-06-10 19:02 | 06-10 20:02 | SHORT |   162.960 |   164.863 |   162.553 |    3 | SL  | -1.09
  24  | 2025-07-03 13:54 | 07-03 14:54 | LONG  |   154.590 |   153.000 |   154.976 |    4 | SL  | -1.10
  25  | 2025-07-04 14:30 | 07-04 15:30 | LONG  |   148.270 |   146.948 |   148.641 |    3 | SL  | -1.11
  26  | 2025-07-05 08:48 | 07-05 09:48 | SHORT |   147.020 |   148.263 |   146.652 |    3 | SL  | -1.12
  27  | 2025-07-18 00:12 | 07-18 01:12 | SHORT |   175.260 |   177.058 |   174.822 |    1 | SL  | -1.10
  28  | 2025-07-20 17:03 | 07-20 18:03 | SHORT |   180.580 |   183.138 |   180.129 |    5 | SL  | -1.07
  29  | 2025-07-24 02:02 | 07-24 03:02 | LONG  |   191.570 |   188.612 |   192.049 |    6 | SL  | -1.06
  30  | 2025-08-11 01:00 | 08-11 02:00 | SHORT |   181.400 |   183.669 |   180.947 |    3 | SL  | -1.08
  31  | 2025-08-13 01:14 | 08-13 02:14 | SHORT |   192.080 |   193.990 |   191.600 |    2 | SL  | -1.10
  32  | 2025-08-17 12:48 | 08-17 13:48 | SHORT |   192.100 |   193.519 |   191.620 |    5 | SL  | -1.14
  33  | 2025-08-22 14:23 | 08-22 15:23 | SHORT |   187.780 |   190.510 |   187.311 |    6 | SL  | -1.07
  34  | 2025-08-30 05:43 | 08-30 06:43 | LONG  |   206.790 |   204.594 |   207.307 |    4 | SL  | -1.09
  35  | 2025-09-04 23:01 | 09-05 00:01 | LONG  |   204.430 |   202.541 |   204.941 |    3 | SL  | -1.11
  36  | 2025-09-05 22:44 | 09-05 23:44 | LONG  |   204.100 |   201.992 |   204.610 |   14 | SL  | -1.10
  37  | 2025-09-08 16:10 | 09-08 17:10 | SHORT |   214.300 |   215.715 |   213.764 |    5 | SL  | -1.15
  38  | 2025-09-12 14:10 | 09-12 15:10 | LONG  |   241.640 |   238.831 |   242.244 |    6 | SL  | -1.09
  39  | 2025-09-12 17:44 | 09-12 18:44 | LONG  |   240.840 |   238.781 |   241.442 |   11 | SL  | -1.12
  40  | 2025-09-13 03:54 | 09-13 04:54 | LONG  |   243.990 |   241.693 |   244.600 |    4 | SL  | -1.11
  41  | 2025-09-13 09:04 | 09-13 10:04 | LONG  |   243.130 |   241.623 |   243.738 |    5 | SL  | -1.16
  42  | 2025-09-21 18:00 | 09-21 19:00 | LONG  |   237.630 |   235.402 |   238.224 |    5 | SL  | -1.11
  43  | 2025-09-22 06:36 | 09-22 07:36 | LONG  |   224.590 |   222.620 |   225.151 |    5 | SL  | -1.11
  44  | 2025-09-22 14:00 | 09-22 15:00 | LONG  |   223.660 |   220.592 |   224.219 |    4 | SL  | -1.07
  45  | 2025-09-30 14:07 | 09-30 15:07 | SHORT |   206.180 |   208.774 |   205.665 |    3 | SL  | -1.08
  46  | 2025-10-02 04:37 | 10-02 05:37 | SHORT |   222.920 |   225.474 |   222.363 |    2 | SL  | -1.09
  47  | 2025-10-05 16:59 | 10-05 17:59 | LONG  |   231.090 |   227.994 |   231.668 |    3 | SL  | -1.07
  48  | 2025-10-09 16:54 | 10-09 17:54 | LONG  |   219.070 |   217.565 |   219.618 |    1 | SL  | -1.15
  49  | 2025-10-10 21:18 | 10-10 22:18 | LONG  |   166.800 |   163.048 |   167.217 |    1 | SL  | -1.04
  50  | 2025-10-12 01:28 | 10-12 02:28 | SHORT |   173.400 |   175.645 |   172.967 |    5 | SL  | -1.08
  51  | 2025-10-12 10:21 | 10-12 11:21 | SHORT |   180.510 |   182.396 |   180.059 |    9 | SL  | -1.10
  52  | 2025-11-10 12:05 | 11-10 13:05 | SHORT |   167.030 |   169.186 |   166.612 |    2 | SL  | -1.08
  53  | 2025-11-11 00:50 | 11-11 01:50 | SHORT |   166.690 |   168.002 |   166.273 |    1 | SL  | -1.13
  54  | 2025-11-11 22:24 | 11-11 23:24 | LONG  |   156.810 |   154.964 |   157.202 |    4 | SL  | -1.08
  55  | 2025-11-14 18:54 | 11-14 19:54 | SHORT |   141.190 |   142.667 |   140.837 |    2 | SL  | -1.10
  56  | 2025-11-16 23:03 | 11-17 00:03 | SHORT |   135.000 |   138.274 |   134.662 |    7 | SL  | -1.04
  57  | 2025-11-24 14:30 | 11-24 15:30 | SHORT |   129.000 |   130.129 |   128.678 |    1 | SL  | -1.11
  58  | 2025-11-26 15:46 | 11-26 16:46 | SHORT |   135.840 |   137.792 |   135.500 |    3 | SL  | -1.07
  59  | 2025-12-05 21:47 | 12-05 22:47 | SHORT |   132.250 |   133.509 |   131.919 |    4 | SL  | -1.11
  60  | 2025-12-08 02:01 | 12-08 03:01 | SHORT |   133.220 |   134.743 |   132.887 |    4 | SL  | -1.09
  61  | 2025-12-22 14:34 | 12-22 15:34 | SHORT |   126.730 |   128.605 |   126.413 |    5 | SL  | -1.07
  62  | 2025-12-30 15:06 | 12-30 16:06 | SHORT |   124.230 |   125.485 |   123.919 |    7 | SL  | -1.10
  63  | 2026-01-09 01:37 | 01-09 02:37 | SHORT |   137.770 |   139.959 |   137.426 |    5 | SL  | -1.06
  64  | 2026-01-09 12:36 | 01-09 13:36 | SHORT |   137.750 |   138.905 |   137.406 |    4 | SL  | -1.12
  65  | 2026-01-13 22:49 | 01-13 23:49 | LONG  |   147.380 |   145.432 |   147.748 |    4 | SL  | -1.08
  66  | 2026-01-15 08:09 | 01-15 09:09 | SHORT |   144.300 |   145.656 |   143.939 |    3 | SL  | -1.11
  67  | 2026-01-17 12:26 | 01-17 13:26 | SHORT |   143.750 |   144.502 |   143.391 |   10 | SL  | -1.19
  68  | 2026-01-20 20:23 | 01-20 21:23 | LONG  |   127.780 |   126.549 |   128.099 |    4 | SL  | -1.10
  69  | 2026-01-21 02:57 | 01-21 03:57 | SHORT |   126.940 |   128.113 |   126.623 |    4 | SL  | -1.11
  70  | 2026-01-26 15:40 | 01-26 16:40 | SHORT |   123.240 |   124.522 |   122.932 |    4 | SL  | -1.10
  71  | 2026-01-27 07:37 | 01-27 08:37 | LONG  |   124.470 |   123.568 |   124.781 |    3 | SL  | -1.14
  72  | 2026-01-31 15:08 | 01-31 16:08 | LONG  |   109.700 |   108.504 |   109.974 |    5 | SL  | -1.09
  73  | 2026-02-17 12:07 | 02-17 13:07 | LONG  |    85.330 |    84.546 |    85.543 |    3 | SL  | -1.11
  74  | 2026-02-19 14:56 | 02-19 15:56 | LONG  |    81.210 |    80.249 |    81.413 |    2 | SL  | -1.08
  75  | 2026-02-25 15:07 | 02-25 16:07 | SHORT |    85.150 |    85.807 |    84.937 |    4 | SL  | -1.13
  76  | 2026-02-28 21:05 | 02-28 22:05 | SHORT |    83.680 |    85.255 |    83.471 |    6 | SL  | -1.05
  77  | 2026-03-01 14:07 | 03-01 15:07 | LONG  |    86.640 |    85.632 |    86.857 |    2 | SL  | -1.09
  78  | 2026-03-03 05:16 | 03-03 06:16 | LONG  |    86.650 |    85.453 |    86.867 |    3 | SL  | -1.07
  79  | 2026-03-06 01:40 | 03-06 02:40 | LONG  |    89.060 |    87.706 |    89.283 |    8 | SL  | -1.07
  80  | 2026-03-10 03:52 | 03-10 04:52 | SHORT |    85.580 |    86.288 |    85.366 |    3 | SL  | -1.12
  81  | 2026-03-16 01:57 | 03-16 02:57 | LONG  |    92.160 |    91.255 |    92.390 |    2 | SL  | -1.10
  82  | 2026-03-22 21:07 | 03-22 22:07 | LONG  |    85.940 |    85.114 |    86.155 |    2 | SL  | -1.10
  83  | 2026-03-24 11:39 | 03-24 12:39 | LONG  |    91.950 |    91.016 |    92.180 |    4 | SL  | -1.10
  84  | 2026-03-25 07:55 | 03-25 08:55 | SHORT |    91.830 |    92.517 |    91.600 |    3 | SL  | -1.13
  85  | 2026-03-25 16:27 | 03-25 17:27 | LONG  |    92.480 |    91.325 |    92.711 |    7 | SL  | -1.08
  86  | 2026-03-27 14:30 | 03-27 15:30 | SHORT |    82.630 |    83.500 |    82.423 |    4 | SL  | -1.10
  87  | 2026-03-28 02:52 | 03-28 03:52 | SHORT |    82.490 |    83.099 |    82.284 |    5 | SL  | -1.14
  88  | 2026-03-28 10:38 | 03-28 11:38 | SHORT |    82.670 |    83.450 |    82.463 |    6 | SL  | -1.11
  89  | 2026-03-31 05:53 | 03-31 06:53 | LONG  |    83.630 |    82.761 |    83.839 |    3 | SL  | -1.10
  90  | 2026-03-31 09:56 | 03-31 10:56 | SHORT |    80.030 |    81.042 |    79.830 |   16 | SL  | -1.08
  91  | 2026-04-02 05:20 | 04-02 06:20 | SHORT |    78.700 |    79.287 |    78.503 |    3 | SL  | -1.13
  92  | 2026-04-02 15:21 | 04-02 16:21 | SHORT |    78.280 |    79.267 |    78.084 |    4 | SL  | -1.08
  93  | 2026-04-04 16:29 | 04-04 17:29 | LONG  |    81.290 |    80.558 |    81.493 |   14 | SL  | -1.11
  94  | 2026-04-05 07:46 | 04-05 08:46 | SHORT |    79.520 |    80.080 |    79.321 |    4 | SL  | -1.14
  95  | 2026-04-11 22:16 | 04-11 23:16 | LONG  |    86.000 |    84.934 |    86.215 |    3 | SL  | -1.08
  96  | 2026-04-15 14:56 | 04-15 15:56 | LONG  |    84.330 |    83.509 |    84.541 |    3 | SL  | -1.10
  97  | 2026-04-16 09:15 | 04-16 10:15 | LONG  |    85.270 |    84.595 |    85.483 |    4 | SL  | -1.13
  98  | 2026-04-18 14:39 | 04-18 15:39 | LONG  |    86.750 |    86.121 |    86.967 |    7 | SL  | -1.14
  99  | 2026-04-21 19:42 | 04-21 20:42 | SHORT |    84.370 |    85.767 |    84.159 |    7 | SL  | -1.06
  100 | 2026-04-23 00:19 | 04-23 01:19 | LONG  |    86.900 |    85.652 |    87.117 |    9 | SL  | -1.07
  101 | 2026-04-24 15:06 | 04-24 16:06 | SHORT |    85.620 |    86.439 |    85.406 |    2 | SL  | -1.10
  102 | 2026-04-25 08:33 | 04-25 09:33 | LONG  |    86.620 |    86.001 |    86.837 |   10 | SL  | -1.14
  103 | 2026-04-27 08:58 | 04-27 09:58 | LONG  |    85.400 |    84.685 |    85.614 |   11 | SL  | -1.12
  104 | 2026-05-02 17:03 | 05-02 18:03 | SHORT |    84.080 |    84.483 |    83.870 |    3 | SL  | -1.21
  105 | 2026-05-04 23:05 | 05-05 00:05 | SHORT |    84.120 |    84.706 |    83.910 |    6 | SL  | -1.14
  106 | 2026-05-06 16:22 | 05-06 17:22 | SHORT |    88.610 |    89.417 |    88.388 |    3 | SL  | -1.11
  107 | 2026-05-11 00:55 | 05-11 01:55 | SHORT |    95.360 |    96.338 |    95.122 |    2 | SL  | -1.10
  108 | 2026-05-12 12:42 | 05-12 13:42 | LONG  |    95.460 |    94.506 |    95.699 |    4 | SL  | -1.10
  109 | 2026-05-14 18:22 | 05-14 19:22 | LONG  |    93.450 |    92.581 |    93.684 |    5 | SL  | -1.11
  110 | 2026-05-17 16:55 | 05-17 17:55 | SHORT |    86.150 |    86.900 |    85.935 |    4 | SL  | -1.11
  111 | 2026-05-18 20:50 | 05-18 21:50 | SHORT |    84.840 |    85.636 |    84.628 |    2 | SL  | -1.11
  112 | 2026-05-21 08:08 | 05-21 09:08 | LONG  |    87.040 |    86.270 |    87.258 |    5 | SL  | -1.11
  113 | 2026-05-23 07:42 | 05-23 08:42 | LONG  |    83.800 |    83.449 |    84.009 |    1 | SL  | -1.24
  114 | 2026-05-24 07:49 | 05-24 08:49 | SHORT |    86.080 |    86.719 |    85.865 |    4 | SL  | -1.13
  115 | 2026-05-26 13:30 | 05-26 14:30 | SHORT |    84.710 |    85.526 |    84.498 |    2 | SL  | -1.10
  116 | 2026-05-27 18:56 | 05-27 19:56 | LONG  |    83.920 |    82.891 |    84.130 |    5 | SL  | -1.08
  117 | 2026-05-28 04:23 | 05-28 05:23 | SHORT |    80.050 |    80.852 |    79.850 |    3 | SL  | -1.10
  118 | 2026-05-31 13:16 | 05-31 14:16 | LONG  |    82.960 |    82.272 |    83.167 |    2 | SL  | -1.12
  119 | 2026-06-14 09:56 | 06-14 10:56 | LONG  |    68.400 |    67.666 |    68.571 |    5 | SL  | -1.09
  120 | 2026-06-16 00:46 | 06-16 01:46 | LONG  |    74.240 |    73.599 |    74.426 |    3 | SL  | -1.12
  121 | 2026-06-18 13:40 | 06-18 14:40 | SHORT |    70.800 |    71.614 |    70.623 |    4 | SL  | -1.09
