# S1 geometry grid. Required lift = fee/(TP+SL) (analytic). Rates from the 4-day snapshot (both regimes spent/known) — geometry selection material, NOT edge evidence.
h_min,tp_pct,sl_pct,span_pct,null,res_rate,tpL_res,tpS_res,whip,unres,ambigL,ambigS,be_taker_taker,lift_taker_taker,be_maker_taker,lift_maker_taker,be_maker_maker,lift_maker_maker,payable_mm,ambig_flag
30,0.1,0.075,0.17500000000000002,42.86,100.0,42.81,42.14,15.04,0.03,1.64,1.81,94.29,51.43,80.0,37.14,65.71,22.86,False,False
30,0.1,0.1,0.2,50.0,100.0,50.01,49.1,0.89,0.03,0.89,0.89,95.0,45.0,82.5,32.5,70.0,20.0,False,False
30,0.1,0.15,0.25,60.0,99.9,59.39,58.76,0.06,0.06,0.27,0.37,96.0,36.0,86.0,26.0,76.0,16.0,False,False
30,0.1,0.2,0.3,66.67,99.9,65.8,64.93,0.0,0.11,0.09,0.15,96.67,30.0,88.33,21.67,80.0,13.33,False,False
30,0.15,0.05,0.2,25.0,100.0,26.12,25.32,48.54,0.03,1.11,1.25,70.0,45.0,57.5,32.5,45.0,20.0,False,False
30,0.15,0.075,0.22500000000000003,33.33,100.0,34.44,33.68,31.85,0.04,0.54,0.64,73.33,40.0,62.22,28.89,51.11,17.78,False,False
30,0.15,0.1,0.25,40.0,99.9,40.87,40.34,18.76,0.06,0.37,0.27,76.0,36.0,66.0,26.0,56.0,16.0,False,False
30,0.15,0.15,0.3,50.0,99.9,50.06,49.82,0.12,0.13,0.12,0.12,80.0,30.0,71.67,21.67,63.33,13.33,False,False
30,0.15,0.2,0.35000000000000003,57.14,99.7,56.79,56.69,0.0,0.32,0.05,0.06,82.86,25.71,75.71,18.57,68.57,11.43,False,False
30,0.2,0.05,0.25,20.0,100.0,21.31,20.46,58.18,0.04,0.44,0.41,56.0,36.0,46.0,26.0,36.0,16.0,False,False
30,0.2,0.075,0.27499999999999997,27.27,99.9,28.91,27.95,43.06,0.07,0.26,0.2,60.0,32.73,50.91,23.64,41.82,14.55,False,False
