ts,bucket_id,side,setup,legsA,legsB,outcome,joint
1782827513.729,14703,long,B,0001100,111,TP,UP-resolve
1782828163.888,14757,long,B,0001110,111,SL,DOWN-resolve
1782829453.67,14822,long,B,0101110,111,SL,DOWN-resolve
1782831146.089,14889,short,B,0001110,111,TP,DOWN-resolve
1782831630.774,14904,short,B,1101110,111,SL,WHIPSAW
1782832916.774,14955,long,B,0001010,111,TP,UP-resolve
1782832916.774,14956,long,B,0001010,111,TP,UP-resolve
1782833205.972,14964,long,B,0001010,111,SL,WHIPSAW
1782834413.824,14998,long,B,0101110,111,SL,DOWN-resolve
1782835340.746,15022,short,B,0100110,111,SL,UP-resolve
1782836395.455,15042,short,B,1001110,111,SL,WHIPSAW
1782838570.902,15072,long,B,0001110,111,SL,DOWN-resolve
1782838974.453,15076,long,B,0101110,111,TP,UP-resolve
1782839758.571,15089,long,B,0001000,111,SL,DOWN-resolve
1782844073.31,15126,long,B,0001110,111,SL,DOWN-resolve
1782844282.065,15127,long,B,0001100,111,SL,DOWN-resolve
1782845313.396,15142,short,B,0001000,111,SL,UP-resolve
1782845531.619,15146,long,B,0001000,111,SL,WHIPSAW
1782845641.123,15147,long,B,0001100,111,SL,WHIPSAW
1782848423.203,15179,long,B,0001100,111,SL,DOWN-resolve
1782853855.178,15264,short,B,0001100,111,SL,WHIPSAW
1782853915.186,15280,short,B,0000100,111,SL,UP-resolve
1782858730.518,15353,short,B,0100100,111,SL,UP-resolve
1782862355.51,15402,long,B,0001000,111,SL,WHIPSAW
1782862445.648,15403,long,B,0001000,111,SL,WHIPSAW
1782865953.756,15506,long,B,0101100,111,SL,DOWN-resolve
1782868065.319,15559,short,B,0001100,111,TP,DOWN-resolve
1782868088.214,15560,short,B,0001100,111,TP,DOWN-resolve
1782868159.077,15575,short,B,0000100,111,TP,DOWN-resolve
1782868232.61,15594,short,B,0000100,111,TP,DOWN-resolve
1782868239.03,15598,short,B,1001100,111,TP,DOWN-resolve
1782868368.1,15632,short,B,0000100,111,SL,UP-resolve
1782868368.528,15633,short,B,0001100,111,SL,UP-resolve
1782868480.7,15694,long,B,0100100,111,TP,UP-resolve
1782868542.539,15717,long,B,0001100,111,SL,DOWN-resolve
1782868664.231,15737,short,B,1100100,111,SL,UP-resolve
