# S4-GEO stage 2 (15m). FRESH data exam: holdout PASS means PASS. Outcome = next-bar direction (information measure, no fees).
tf,cell,disc_n,disc_pup,disc_base,disc_lift,disc_ci_lo,disc_ci_hi,disc_blocks,hold_n,hold_pup,hold_base,hold_lift,hold_ci_lo,hold_ci_hi,hold_blocks,survivor,holdout_pass
15m,L3:C>O>M>P,46,56.52,47.31,9.21,-3.32,20.3,9,23,47.83,50.81,-2.99,-7.14,5.48,4,False,False
15m,L3:C>O>P>M,7,57.14,47.31,9.83,-9.9,32.9,9,9,66.67,50.81,15.85,-29.92,52.02,4,False,False
15m,L3:C>M>O>P,41,46.34,47.31,-0.97,-14.05,11.36,9,13,38.46,50.81,-12.35,-27.33,-0.77,4,False,False
15m,L3:C>M>P>O,93,51.61,47.31,4.3,-1.36,10.0,9,40,47.5,50.81,-3.31,-12.81,6.97,4,False,False
15m,L3:C>P>O>M,10,30.0,47.31,-17.31,-46.13,2.51,9,6,66.67,50.81,15.85,8.11,25.33,4,False,False
15m,L3:C>P>M>O,104,44.23,47.31,-3.08,-14.3,6.17,9,55,52.73,50.81,1.91,-7.06,7.86,4,False,False
15m,L3:M>O>C>P,5,40.0,47.31,-7.31,-30.76,20.52,9,3,33.33,50.81,-17.48,,,4,False,False
15m,L3:M>O>P>C,8,37.5,47.31,-9.81,-28.49,9.72,9,5,80.0,50.81,29.19,23.98,35.61,4,False,False
15m,L3:M>C>O>P,2,0.0,47.31,-47.31,,,9,2,0.0,50.81,-50.81,,,4,False,False
15m,L3:M>C>P>O,5,60.0,47.31,12.69,-26.05,36.95,9,3,66.67,50.81,15.85,,,4,False,False
15m,L3:M>P>O>C,9,22.22,47.31,-25.09,-36.84,-13.15,9,5,40.0,50.81,-10.81,-48.1,18.69,4,False,False
15m,L3:M>P>C>O,10,70.0,47.31,22.69,-3.49,40.72,9,6,33.33,50.81,-17.48,-30.77,-11.12,4,False,False
15m,L3:P>O>C>M,1,100.0,47.31,52.69,,,9,2,100.0,50.81,49.19,,,4,False,False
15m,L3:P>O>M>C,37,43.24,47.31,-4.07,-14.38,6.05,9,11,36.36,50.81,-14.45,-25.22,-1.12,4,False,False
15m,L3:P>C>O>M,2,0.0,47.31,-47.31,,,9,2,100.0,50.81,49.19,,,4,False,False
15m,L3:P>C>M>O,32,56.25,47.31,8.94,-2.77,17.63,9,22,54.55,50.81,3.73,-28.41,28.0,4,False,False
15m,L3:P>M>O>C,56,51.79,47.31,4.48,-4.28,13.29,9,31,51.61,50.81,0.8,-16.03,22.76,4,False,False
15m,L3:P>M>C>O,40,45.0,47.31,-2.31,-12.07,9.39,9,25,60.0,50.81,9.19,2.45,15.54,4,False,False
15m,L4:O>C,654,45.41,47.31,-1.9,-4.05,0.13,9,271,48.71,50.81,-2.11,-5.33,1.45,4,False,False
15m,L4:O>M,625,47.04,47.31,-0.27,-2.02,1.96,9,261,49.04,50.81,-1.77,-3.36,-0.05,4,False,False
15m,L4:O>P,615,47.48,47.31,0.17,-2.64,3.29,9,258,48.45,50.81,-2.36,-4.09,-0.37,4,False,False
15m,L4:C>M,595,51.76,47.31,4.45,2.97,5.83,9,266,54.89,50.81,4.07,1.6,6.46,4,False,False
15m,L4:C>P,589,50.08,47.31,2.77,1.95,3.62,9,260,53.08,50.81,2.26,-2.14,4.99,4,False,False
15m,L4:M>P,518,46.72,47.31,-0.59,-3.07,1.99,9,225,48.89,50.81,-1.92,-3.44,0.08,4,False,False
