# SEL-k=100 full re-derivation (discovery-only fit). C@k = context over k-1 priors (registry-literal only at k=16). W-STAT excl = post-audit flag set. HOLDOUT numbers elsewhere are comparison material — 15 extra trials of selection bias; forward data is the only judge.
variant,direction,rank,feature_code,flag,weight,cumulative_weight,raw_strength,deduped_aliases
W-ALL,short,78,E15.01,,0.0040,0.9740,0.8989,
W-ALL,short,79,E07.01,,0.0036,0.9776,0.8050,
W-ALL,short,80,E14.01,,0.0035,0.9811,0.8035,
W-ALL,short,81,B-P2.03,,0.0034,0.9846,0.7771,
W-ALL,short,82,B-P3.03,,0.0034,0.9879,0.7634,
W-ALL,short,83,E23.01,,0.0023,0.9902,0.5236,
W-ALL,short,84,E10.01,,0.0021,0.9924,0.4853,
W-ALL,short,85,B-P1.11,,0.0019,0.9943,0.4313,
W-ALL,short,86,B-P1.04,,0.0019,0.9962,0.4313,
W-ALL,short,87,G04.1,,0.0019,0.9981,0.4313,
W-ALL,short,88,B-P4.02,,0.0019,1.0000,0.4313,
W-STAT,long,1,B-P2.10,,0.0371,0.0371,8.3345,
W-STAT,long,2,C.12,,0.0326,0.0697,7.3238,
W-STAT,long,3,B-P1.06,,0.0297,0.0993,6.6755,
W-STAT,long,4,E51.01,,0.0247,0.1240,5.5503,
W-STAT,long,5,C.06,,0.0242,0.1482,5.4377,
W-STAT,long,6,B-P4.04,,0.0230,0.1712,5.1724,
W-STAT,long,7,B-P2.06,,0.0217,0.1929,4.8777,
W-STAT,long,8,B-S.09,,0.0214,0.2143,4.8033,
W-STAT,long,9,E50.01,,0.0208,0.2350,4.6658,
W-STAT,long,10,B-S.07,,0.0207,0.2558,4.6609,
W-STAT,long,11,E52.01,,0.0206,0.2764,4.6378,
W-STAT,long,12,C.03,,0.0206,0.2970,4.6314,
W-STAT,long,13,B-S.05,,0.0202,0.3172,4.5430,
W-STAT,long,14,C.09,,0.0186,0.3358,4.1893,
W-STAT,long,15,E03.01,,0.0180,0.3539,4.0525,
W-STAT,long,16,C.05,,0.0180,0.3719,4.0440,
W-STAT,long,17,C.02,,0.0177,0.3896,3.9830,
W-STAT,long,18,B-P1.05,,0.0176,0.4072,3.9620,
W-STAT,long,19,B-P3.08,,0.0173,0.4245,3.8785,
W-STAT,long,20,B-P1.03,,0.0171,0.4416,3.8462,
W-STAT,long,21,B-P2.08,,0.0167,0.4583,3.7627,
W-STAT,long,22,E42.01,,0.0163,0.4746,3.6699,
W-STAT,long,23,E05.01,,0.0163,0.4909,3.6616,
W-STAT,long,24,B-P1.08,,0.0158,0.5068,3.5619,
W-STAT,long,25,B-P1.07,,0.0157,0.5225,3.5325,
W-STAT,long,26,B-S.14,,0.0156,0.5381,3.5114,
W-STAT,long,27,C.11,,0.0155,0.5536,3.4837,
W-STAT,long,28,E20.01,,0.0151,0.5687,3.4041,
W-STAT,long,29,B-P2.05,,0.0149,0.5836,3.3389,
W-STAT,long,30,B-P1.01,,0.0141,0.5977,3.1788,
W-STAT,long,31,B-P1.02,,0.0141,0.6119,3.1788,
W-STAT,long,32,B-S.08,,0.0137,0.6256,3.0834,
W-STAT,long,33,B-P4.09,,0.0135,0.6391,3.0317,
W-STAT,long,34,C.04,,0.0133,0.6523,2.9863,
W-STAT,long,35,B-P3.09,,0.0130,0.6654,2.9267,
W-STAT,long,36,B-P1.10,,0.0125,0.6779,2.8154,
W-STAT,long,37,B-P3.06,,0.0124,0.6903,2.7851,
W-STAT,long,38,B-P3.05,,0.0121,0.7024,2.7311,
W-STAT,long,39,E08.01,,0.0111,0.7135,2.5016,
W-STAT,long,40,C.07,,0.0111,0.7246,2.4954,
W-STAT,long,41,E25.01,,0.0109,0.7356,2.4609,
W-STAT,long,42,E12.01,,0.0108,0.7464,2.4364,
W-STAT,long,43,B-P3.07,,0.0101,0.7565,2.2726,
W-STAT,long,44,B-P2.04,,0.0094,0.7659,2.1025,
W-STAT,long,45,B-P2.01,,0.0090,0.7749,2.0189,
W-STAT,long,46,B-P2.02,,0.0090,0.7839,2.0189,
W-STAT,long,47,B-P1.09,,0.0088,0.7926,1.9743,
W-STAT,long,48,B-S.06,,0.0087,0.8013,1.9494,
W-STAT,long,49,B-P4.10,,0.0087,0.8100,1.9486,
W-STAT,long,50,B-P3.01,,0.0086,0.8186,1.9304,
W-STAT,long,51,B-P3.02,,0.0086,0.8271,1.9304,
W-STAT,long,52,E28.01,,0.0086,0.8357,1.9304,
W-STAT,long,53,C.10,,0.0085,0.8442,1.9059,
W-STAT,long,54,B-P4.05,,0.0085,0.8527,1.9010,
W-STAT,long,55,B-P3.04,,0.0084,0.8610,1.8783,
W-STAT,long,56,B-P4.01,,0.0083,0.8693,1.8715,
W-STAT,long,57,B-P2.09,,0.0082,0.8776,1.8545,
W-STAT,long,58,E43.01,,0.0077,0.8853,1.7291,
W-STAT,long,59,B-P2.07,,0.0075,0.8928,1.6841,
W-STAT,long,60,E19.01,,0.0068,0.8996,1.5318,
W-STAT,long,61,C.08,,0.0066,0.9062,1.4800,
W-STAT,long,62,E06.01,,0.0061,0.9123,1.3762,
W-STAT,long,63,E21.01,,0.0061,0.9184,1.3721,
W-STAT,long,64,E13.01,,0.0053,0.9237,1.1986,
W-STAT,long,65,E16.01,,0.0051,0.9288,1.1396,
W-STAT,long,66,E18.01,,0.0050,0.9339,1.1347,
W-STAT,long,67,B-P4.02,,0.0048,0.9387,1.0901,
W-STAT,long,68,B-P3.03,,0.0047,0.9434,1.0512,
W-STAT,long,69,B-P3.10,,0.0047,0.9480,1.0463,
W-STAT,long,70,G06.1,,0.0045,0.9526,1.0217,
W-STAT,long,71,E17.01,,0.0044,0.9570,0.9923,
W-STAT,long,72,G04.1,,0.0044,0.9613,0.9787,
W-STAT,long,73,E14.01,,0.0041,0.9655,0.9321,
W-STAT,long,74,G03.1,,0.0041,0.9696,0.9284,
W-STAT,long,75,E24.01,,0.0040,0.9736,0.8989,
W-STAT,long,76,E23.01,,0.0038,0.9774,0.8540,
W-STAT,long,77,E07.01,,0.0038,0.9812,0.8434,
W-STAT,long,78,E10.01,,0.0036,0.9848,0.8075,
W-STAT,long,79,B-P2.11,,0.0033,0.9880,0.7307,
W-STAT,long,80,B-P1.04,,0.0032,0.9912,0.7111,
W-STAT,long,81,E15.01,,0.0031,0.9943,0.6926,
W-STAT,long,82,E22.01,,0.0024,0.9966,0.5298,
W-STAT,long,83,B-P2.03,,0.0023,0.9990,0.5263,
W-STAT,long,84,B-P1.11,,0.0010,1.0000,0.2360,
W-STAT,short,1,B-P1.06,,0.0358,0.0358,7.5892,
W-STAT,short,2,B-P2.10,,0.0335,0.0693,7.0904,
W-STAT,short,3,C.12,,0.0311,0.1004,6.5986,
W-STAT,short,4,E51.01,,0.0300,0.1304,6.3478,
W-STAT,short,5,B-S.05,,0.0288,0.1592,6.0979,
W-STAT,short,6,C.09,,0.0284,0.1875,6.0095,
W-STAT,short,7,B-P2.08,,0.0271,0.2146,5.7442,
W-STAT,short,8,C.06,,0.0266,0.2413,5.6440,
W-STAT,short,9,B-S.09,,0.0255,0.2668,5.4121,
W-STAT,short,10,B-P1.05,,0.0242,0.2910,5.1194,
W-STAT,short,11,C.05,,0.0197,0.3107,4.1762,
W-STAT,short,12,C.11,,0.0194,0.3301,4.1211,
W-STAT,short,13,B-P4.04,,0.0193,0.3494,4.0898,
W-STAT,short,14,B-P1.10,,0.0192,0.3686,4.0727,
W-STAT,short,15,E20.01,,0.0187,0.3873,3.9640,
W-STAT,short,16,B-P3.08,,0.0187,0.4060,3.9575,
W-STAT,short,17,E03.01,,0.0184,0.4244,3.9051,
W-STAT,short,18,C.03,,0.0181,0.4425,3.8285,
W-STAT,short,19,B-S.14,,0.0164,0.4589,3.4670,
W-STAT,short,20,C.02,,0.0161,0.4750,3.4159,
W-STAT,short,21,E50.01,,0.0154,0.4904,3.2567,
W-STAT,short,22,B-P2.06,,0.0148,0.5052,3.1388,
W-STAT,short,23,B-P2.05,,0.0142,0.5194,3.0093,
W-STAT,short,24,B-P1.07,,0.0142,0.5336,3.0091,
W-STAT,short,25,B-P3.06,,0.0142,0.5477,2.9993,
W-STAT,short,26,B-S.07,,0.0139,0.5616,2.9443,
W-STAT,short,27,B-P4.10,,0.0138,0.5754,2.9150,
W-STAT,short,28,E12.01,,0.0132,0.5886,2.7930,
W-STAT,short,29,E52.01,,0.0130,0.6015,2.7483,
W-STAT,short,30,C.04,,0.0128,0.6143,2.7018,
W-STAT,short,31,E05.01,,0.0122,0.6264,2.5755,
W-STAT,short,32,E42.01,,0.0120,0.6385,2.5516,
W-STAT,short,33,B-P4.05,,0.0118,0.6503,2.4983,
W-STAT,short,34,B-P2.07,,0.0115,0.6618,2.4393,
W-STAT,short,35,B-P4.01,,0.0114,0.6732,2.4099,
W-STAT,short,36,B-P3.09,,0.0113,0.6845,2.3958,
W-STAT,short,37,C.07,,0.0113,0.6957,2.3865,
W-STAT,short,38,E08.01,,0.0111,0.7068,2.3419,
W-STAT,short,39,B-P1.03,,0.0109,0.7177,2.3136,
W-STAT,short,40,E25.01,,0.0105,0.7282,2.2252,
W-STAT,short,41,B-P4.09,,0.0104,0.7386,2.2075,
W-STAT,short,42,C.10,,0.0099,0.7486,2.1073,
W-STAT,short,43,B-S.06,,0.0098,0.7584,2.0778,
W-STAT,short,44,E43.01,,0.0095,0.7679,2.0189,
W-STAT,short,45,E28.01,,0.0089,0.7768,1.8794,
W-STAT,short,46,B-P2.01,,0.0088,0.7856,1.8715,
W-STAT,short,47,B-P2.02,,0.0088,0.7944,1.8715,
W-STAT,short,48,B-P3.05,,0.0086,0.8030,1.8204,
W-STAT,short,49,E06.01,,0.0084,0.8114,1.7707,
W-STAT,short,50,B-S.08,,0.0083,0.8197,1.7654,
W-STAT,short,51,B-P1.08,,0.0081,0.8278,1.7241,
