# S4-GEO stage 3 (1m), tick=0.01. EQ cells = first analysis of previously-excluded bars; RECUT cells = re-cuts of mined data. 1m spent throughout.
cell,class,full_n,full_pup,full_lift,disc_n,disc_pup,disc_base,disc_lift,disc_ci_lo,disc_ci_hi,disc_blocks,hold_n,hold_pup,hold_base,hold_lift,hold_ci_lo,hold_ci_hi,hold_blocks,survivor,holdout_pass
T3:O<=rest,RECUT,4022,53.13,2.8,2735,52.83,49.64,3.19,2.07,4.18,4,1287,53.77,51.86,1.91,1.44,2.2,2,False,False
T3:C>=rest,RECUT,4097,52.92,2.58,2809,52.76,49.64,3.11,2.01,4.45,4,1288,53.26,51.86,1.4,1.17,1.56,2,False,False
T3:C<=rest,RECUT,4055,47.55,-2.79,2832,46.36,49.64,-3.28,-3.95,-2.83,4,1222,50.25,51.86,-1.61,-2.12,-1.15,2,False,False
T3:M>=rest,RECUT,1869,50.4,0.06,1304,49.62,49.64,-0.03,-1.55,2.22,4,565,52.21,51.86,0.36,-2.49,3.18,2,False,False
T3:M<=rest,RECUT,1819,50.36,0.02,1266,50.24,49.64,0.59,0.01,1.22,4,553,50.63,51.86,-1.22,-1.87,-0.83,2,False,False
T3:P>=rest,RECUT,2868,49.9,-0.44,1991,49.67,49.64,0.03,-1.43,1.27,4,876,50.34,51.86,-1.51,-3.12,-0.22,2,False,False
T3:P<=rest,RECUT,2948,49.29,-1.05,2085,48.39,49.64,-1.25,-2.14,-0.32,4,863,51.45,51.86,-0.41,-2.55,2.38,2,False,False
T4:C>MP>O,EQ,911,55.76,5.43,616,55.36,49.64,5.71,1.68,9.74,4,295,56.61,51.86,4.75,3.63,5.81,2,True,True
T4:C>O>MP,EQ,193,52.85,2.51,139,53.96,49.64,4.31,1.58,6.16,4,54,50.0,51.86,-1.86,-13.75,5.62,2,False,False
T4:MP>C>O,EQ,167,56.29,5.95,117,54.7,49.64,5.06,-1.36,12.01,4,50,60.0,51.86,8.14,3.94,12.24,2,False,False
T4:MP>O>C,EQ,198,44.44,-5.89,129,46.51,49.64,-3.13,-10.3,3.85,4,69,40.58,51.86,-11.28,-15.88,-7.81,2,False,False
T4:O>MP>C,EQ,929,49.3,-1.04,639,47.57,49.64,-2.07,-6.45,0.67,4,290,53.1,51.86,1.25,-1.78,3.73,2,False,False
T4:O>C>MP,EQ,192,48.96,-1.38,130,45.38,49.64,-4.26,-7.65,0.2,4,62,56.45,51.86,4.59,-2.89,17.08,2,False,False
