rank,feature,family,approx,kind,n_cats,n_resolved,coverage,top_bin,n_top,tpr_top,bot_bin,n_bot,tpr_bot,effect,ci_lo,ci_hi,eff_blocks,whipf_top,whipf_bot,baseline,note
253,E16.02,E,,num,4,6855,99.796,Q4,1714,40.840,Q1,1714,40.898,-0.058,-3.023,2.844,23,22.870,25.146,40.079,
254,B-P3.07,B-,,num,4,6869,100.000,Q4,1201,37.469,Q1,1929,37.429,0.040,-6.544,7.296,23,24.147,25.143,40.079,
255,B-P1.04,B-,,cat,2,6869,100.000,bull,3161,40.082,bear,3708,40.076,0.007,-5.103,5.567,23,23.442,24.919,40.079,
256,B-S.01,,,,,,,,,,,,,,,,,,,,degenerate/constant
257,B-S.04,,,,,,,,,,,,,,,,,,,,insufficient bin n
258,E04.05,,,,,,,,,,,,,,,,,,,,degenerate/constant
259,E39.01,,,,,,,,,,,,,,,,,,,,degenerate/constant
260,E47.01,,,,,,,,,,,,,,,,,,,,degenerate/constant
261,E48.01,,,,,,,,,,,,,,,,,,,,degenerate/constant
262,E49.01,,,,,,,,,,,,,,,,,,,,degenerate/constant
