rank,feature,family,approx,kind,n_cats,n_resolved,coverage,top_bin,n_top,tpr_top,bot_bin,n_bot,tpr_bot,effect,ci_lo,ci_hi,eff_blocks,whipf_top,whipf_bot,baseline,note
115,E05.03,E,,num,4,6855,99.796,Q4,1714,37.223,Q1,1714,33.664,3.559,0.455,6.882,23,23.221,23.629,35.682,
116,E21.10,E,,num,4,6866,99.956,Q4,1717,38.556,Q1,1717,35.003,3.553,-0.394,7.385,23,23.296,23.704,35.682,
117,E14.04,E,,num,4,6855,99.796,Q4,1320,38.409,Q1,2098,34.938,3.471,-2.302,8.498,23,24.924,23.832,35.682,
118,C.12,C,,num,4,6869,100.000,Q4,945,37.672,Q1,1758,34.243,3.428,-4.396,11.070,23,25.926,23.663,35.682,
119,K.12,K,,num,2,6645,96.739,Q2,75,32.000,Q1,6570,35.373,-3.373,-10.800,3.585,23,22.667,24.003,35.682,
120,B-P3.04,B-,,cat,2,6869,100.000,buyer,3263,37.450,seller,3606,34.082,3.368,-3.685,10.505,23,23.935,24.515,35.682,
121,E21.01,E,,cat,3,6869,100.000,0,782,37.468,-1,3035,34.201,3.267,-3.431,9.335,23,27.749,24.514,35.682,
122,E33.01,E,,num,4,6869,100.000,Q4,1717,34.886,Q1,1718,38.126,-3.239,-5.886,-0.446,23,23.762,23.458,35.682,
123,E06.01,E,,cat,3,6869,100.000,1,3153,37.076,0,520,33.846,3.230,-0.792,7.458,23,24.675,21.731,35.682,
124,E06.10,E,,cat,3,6869,100.000,1,3153,37.076,0,520,33.846,3.230,-0.792,7.458,23,24.675,21.731,35.682,
125,B-S.03,B-,,num,4,6869,100.000,Q4,1717,38.497,Q1,1718,35.274,3.224,-11.243,20.223,21,22.772,22.468,35.682,
126,B-S.08,B-,,num,4,6869,100.000,Q4,1717,40.594,Q1,1718,37.427,3.167,-7.541,15.521,23,23.296,23.690,35.682,
127,E25.06,E,,num,4,6855,99.796,Q4,1178,36.842,Q1,2591,33.694,3.149,0.335,6.019,23,22.071,24.624,35.682,
128,E07.05,E,,num,4,6104,88.863,Q4,819,32.967,Q1,2974,36.079,-3.112,-6.947,1.458,23,25.763,24.277,35.682,
129,B-P3.05,B-,,num,4,6869,100.000,Q4,1717,37.915,Q1,1718,34.808,3.107,-2.482,7.941,23,22.889,26.601,35.682,
130,B-S.11,B-,,num,4,6869,100.000,Q4,1717,37.915,Q1,1718,34.808,3.107,-2.482,7.941,23,22.889,26.601,35.682,
131,B-P4.09,B-,,num,4,6869,100.000,Q4,1715,35.743,Q1,1725,38.841,-3.097,-10.452,3.962,23,25.073,25.797,35.682,
132,E13.01,E,,num,4,6869,100.000,Q4,1717,37.915,Q1,1718,34.866,3.049,-4.687,11.904,23,23.005,25.204,35.682,
133,E13.08,E,,num,4,6869,100.000,Q4,1717,37.915,Q1,1718,34.866,3.049,-4.687,11.904,23,23.005,25.204,35.682,
134,E18.04,E,,num,4,6855,99.796,Q4,994,34.909,Q1,1887,37.944,-3.034,-7.308,0.883,23,23.843,25.066,35.682,
135,E56.01,E,,num,4,6855,99.796,Q4,1714,37.281,Q1,1714,34.306,2.975,-0.098,6.445,23,23.512,23.746,35.682,
136,E17.02,E,,num,4,6855,99.796,Q4,1714,36.406,Q1,1714,33.431,2.975,-0.458,6.103,23,22.579,25.088,35.682,
137,E54.04,E,,num,4,6869,100.000,Q4,1717,34.886,Q1,1718,37.776,-2.890,-7.203,1.417,23,24.636,24.796,35.682,
138,B-P1.07,B-,,num,4,6869,100.000,Q4,1717,36.284,Q1,1718,33.469,2.815,-2.408,7.707,23,22.772,26.426,35.682,
139,E28.05,E,,num,4,6855,99.796,Q4,1714,35.298,Q1,1714,32.497,2.800,-1.884,7.252,23,24.562,26.138,35.682,
140,E20.04,E,,num,4,6855,99.796,Q4,1404,37.464,Q1,2958,34.719,2.745,-0.851,6.354,23,26.211,23.867,35.682,
141,G06.1,G,,num,4,6869,100.000,Q4,1717,37.624,Q1,1718,34.924,2.699,-1.831,6.779,23,23.413,24.098,35.682,
142,E23.04,E,,num,4,6645,96.739,Q4,1647,36.551,Q1,1688,33.886,2.665,-1.060,6.621,23,23.679,23.697,35.682,
143,B-P2.06,B-,,num,4,6869,100.000,Q4,1717,34.886,Q1,1718,37.544,-2.657,-10.943,7.765,23,24.520,22.643,35.682,
144,E33.05,E,,num,4,6645,96.739,Q4,1651,34.222,Q1,1663,36.801,-2.579,-4.694,-0.630,23,23.864,23.391,35.682,
145,E03.02,E,,num,4,6645,96.739,Q4,1651,36.584,Q1,1673,34.071,2.513,-6.201,10.100,23,24.591,25.045,35.682,
146,E14.09,E,,num,4,6866,99.956,Q4,1717,37.507,Q1,1717,35.119,2.388,-1.873,6.517,23,25.568,23.122,35.682,
147,E16.02,E,,num,4,6855,99.796,Q4,1714,36.289,Q1,1714,33.956,2.334,-1.492,6.040,23,22.870,25.146,35.682,
148,E21.04,E,,num,4,6855,99.796,Q4,1383,37.383,Q1,1971,35.058,2.324,-4.463,8.452,23,23.933,24.049,35.682,
149,E57.01,E,,num,2,6834,99.490,Q2,1707,37.434,Q1,5127,35.167,2.267,0.533,3.876,23,23.023,24.693,35.682,
150,E17.01,E,,num,3,6869,100.000,Q3,1717,37.682,Q1,3435,35.429,2.253,-2.306,6.629,23,22.423,25.328,35.682,
151,E24.01,E,,num,4,6869,100.000,Q4,1717,33.896,Q1,1718,36.147,-2.250,-6.426,3.232,23,25.277,24.098,35.682,
152,E06.02,E,,num,4,6869,100.000,Q4,1636,37.958,Q1,1770,35.763,2.196,-0.769,5.004,23,24.939,23.107,35.682,
153,E32.01,E,,num,4,6869,100.000,Q4,1713,38.120,Q1,1722,35.947,2.174,-12.175,18.636,21,22.825,22.764,35.682,
154,E29.04,E,,num,4,5454,79.400,Q4,1317,36.219,Q1,1426,34.081,2.137,-6.077,9.193,23,24.298,26.928,35.682,
155,B-P1.09,B-,,num,4,6869,100.000,Q4,1336,36.228,Q1,1738,34.120,2.108,-1.696,6.702,23,21.781,25.892,35.682,
156,E17.06,E,,num,4,6866,99.956,Q4,1717,37.682,Q1,1717,35.585,2.097,-3.657,6.874,23,22.190,24.461,35.682,
157,E13.03,E,,num,4,6855,99.796,Q4,1331,35.387,Q1,2081,37.482,-2.095,-7.117,3.110,23,23.216,24.315,35.682,
158,E19.04,E,,num,4,6855,99.796,Q4,937,34.258,Q1,2287,36.336,-2.078,-6.130,2.229,23,24.760,24.661,35.682,
159,E11.01,E,,num,4,6869,100.000,Q4,1714,38.040,Q1,1721,35.967,2.072,-12.363,18.732,21,22.812,22.719,35.682,
160,E11.03,E,,num,4,6869,100.000,Q4,1714,38.040,Q1,1721,35.967,2.072,-12.363,18.732,21,22.812,22.719,35.682,
