ts,bucket_id,P1.01,P1.02,P1.03,P1.04,P1.05,P1.06,P1.07,P1.08,P1.09,P1.10,P1.11,P2.01,P2.02,P2.03,P2.04,P2.05,P2.06,P2.07,P2.08,P2.09,P2.10,P2.11,P3.01,P3.02,P3.03,P3.04,P3.05,P3.06,P3.07,P3.08,P3.09,P3.10,P4.01,P4.02,P4.03,P4.04,P4.05,P4.09,P4.10,S.01,S.02,S.03,S.04,S.05,S.06,S.07,S.08,S.09,S.10,S.11,S.12,S.13,S.14,p5_up,p5_dn,p5_spr,p6_up,p6_dn,p6_spr,p7_up,p7_dn,p7_spr,phase_dom_up,phase_dom_dn,p9_bull,p9_bear,p9_sum,p0_bull,p0_bear,p0_sum,cross1_level,cross1_dir,cross1_ago,cross2_level,cross2_dir,cross2_ago,leg1_long,leg1_short,leg2_long,leg2_short,leg3_long,leg3_short,leg4_long,leg4_short,fire_long,fire_short,fwd30_mfe,fwd30_mae,fwd30_end
1782886642.274,16550,100.0,0.0,100.0,bear,29673.879841736005,0.0,0.12930207834187302,0.001279940395487785,0,2,50.0,29.322471634186236,70.67752836581376,41.35505673162752,bear,26962.48500000021,66701.67178374935,0.408135714064728,0.013336840885969127,2,0,50.0,40.5868622917006,59.4131377082994,18.826275416598804,seller,1.008889773647646,1.0207871507323691,3,0,6,72.76278137439468,0.10246754419919911,bull,0.10246754419919911,0.0,0.10246754419919911,47.072939955719654,0,16,822.7890000343323,229492.67500000002,135144.0 | 94348.7,-40795.27500000001,13028.417094413315,14227.789999999033,20888.990000000147,12619.252905583631,9469.110000002236,1.008889773647646,1.0207871507323691,1235.635863113936,-0.07994670219853735,74.164,1.75,72.414,25.755,48.932,-23.177,0.081,49.317,-49.236,BEFORE,END,-51.814,-28.277,-80.091,-40.345,-44.078,-84.423,,,,,,,False,False,False,True,False,False,False,True,False,False,0.0,-1.4402,-1.2802
1782886742.27,16551,100.0,0.0,100.0,bear,23186.065805047743,0.0,0.10121907082653084,0.0007570800285810434,0,1,50.0,26.31663123123268,73.68336876876732,47.36673753753464,bear,26962.48500000021,75491.68082043754,0.44726498897429784,0.009681749891893628,1,0,0.0,40.79500984409709,59.204990155902905,18.409980311805814,seller,1.0047152402550772,1.0269705215479603,3,0,5,25.24499441253452,0.06148052651951946,bull,0.06148052651951946,0.0,0.06148052651951946,47.072939955719654,0,16,852.7690000534058,229068.155,137446.2 | 91622.0,-45824.184999999954,12201.150000000373,13333.899999998437,21108.720000000372,12634.579999996276,9606.89000000216,1.0047152402550772,1.0269705215479603,1231.4969264563254,-0.22654584221748625,73.196,1.857,71.338,26.721,49.461,-22.74,0.083,48.682,-48.599,BEFORE,STARTDUR,-53.212,-29.676,-82.888,-43.919,-47.653,-91.573,,,,,,,False,False,False,True,False,True,False,True,False,False,0.0401,-1.2822,-1.1219
1782886786.781,16552,100.0,0.0,100.0,bear,20303.141699908,0.0,0.08881826100810405,0.0,4,1,100.0,28.33310791781522,71.66689208218477,43.333784164369554,bear,26962.48500000021,80655.55386225574,0.4707866007205893,0.008460246012155071,0,0,0.0,42.55087040066629,57.4491295993337,14.898259198667413,seller,1.026522115897338,1.0157137828419325,3,0,4,40.6184989340652,0.036888315911711676,bull,0.036888315911711676,0.0,0.036888315911711676,47.072939955719654,0,16,821.3259999752045,228591.97500000003,135427.3 | 93164.7,-42262.63500000039,12604.739999999212,13126.999999998288,19927.770000002758,11902.799999997915,8547.23000000392,1.026522115897338,1.0157137828419325,1239.2277202581172,-0.2930988542499319,71.704,2.167,69.537,28.193,50.334,-22.141,0.103,47.5,-47.397,BEFORE,STARTDUR,-51.326,-27.79,-79.116,-56.646,-33.11,-89.756,,,,,,,False,False,False,True,False,True,False,True,False,False,0.0267,-1.2427,-1.0021
1782886800.258,16553,100.0,0.0,100.0,bear,27259.81688832555,0.0,0.11944635100043582,0.0,15,1,100.0,18.49985109281688,81.50014890718312,63.00029781436625,bear,26962.48500000021,72987.91367383747,0.4379600366186486,0.0059926872428428405,10,0,0.0,37.590189982460046,62.409810017539954,24.819620035079915,seller,1.0411328250165424,1.0495245159596214,4,0,15,16.424893197099074,0.022132989547027006,bull,0.022132989547027006,0.0,0.022132989547027006,47.072939955719654,0,16,821.039999961853,228218.08000000005,134716.3 | 93501.7,-41214.600000000035,11781.250000000004,13192.219999999033,19332.230000001717,11512.01999999665,9231.180000004098,1.0411328250165424,1.0495245159596214,1238.884060203413,-0.25329956005867477,73.049,1.905,71.144,26.866,49.337,-22.471,0.085,48.757,-48.673,BEFORE,STARTDUR,-58.723,-35.187,-93.91,-60.319,-36.783,-97.102,,,,,,,False,False,False,True,False,True,False,True,False,False,0.0535,-1.2163,-0.9757
1782886818.796,16554,100.0,0.0,100.0,bear,28886.47835582173,0.0,0.12682574439991784,0.0,14,1,100.0,18.725793024849395,81.2742069751506,62.54841395030122,bear,16567.645000000215,80773.55220634026,0.42737538457972907,0.0027655561939290327,9,0,0.0,38.135372017710104,61.864627982289896,23.7292559645798,seller,0.9883383926603181,1.0565123312036626,3,0,14,32.64260570057831,0.0,bear,0.0,0.0,0.0,0.0,0,16,784.739000082016,227765.10000000003,140096.8 | 87668.3,-52428.56000000001,10910.660598599661,12267.589999999034,18320.950598599207,11884.549999995306,7793.330000003277,0.9883383926603181,1.0565123312036626,1269.5535839797021,-0.37303490540900763,74.073,1.657,72.416,25.866,48.53,-22.665,0.062,49.813,-49.751,BEFORE,END,-58.338,-34.801,-93.139,-57.612,-34.076,-91.688,,,,,,,False,False,False,True,False,False,False,True,False,False,0.0134,-1.1634,-0.9227
1782886827.495,16555,100.0,0.0,100.0,bear,27334.597584694777,0.0,0.12020956388658378,0.0,13,1,50.0,18.19356862354219,81.80643137645781,63.612862752915625,bear,16567.645000000215,81768.22297746688,0.4324523808098342,-0.0036832379522327326,8,0,0.0,39.20567558214037,60.79432441785963,21.588648835719248,seller,0.9853478261061721,1.0317210236839718,3,0,13,29.82963127159197,0.0,bear,0.0,0.0,0.0,0.0,0,16,751.3319997787476,227391.20500000005,139539.6 | 87851.6,-51688.034999999974,3767.3699999992205,12234.559999997358,15228.590000000817,14627.579999995678,9068.200000003277,0.9853478261061721,1.0317210236839718,1349.1047065209073,-0.3865635830445109,74.763,1.519,73.244,25.185,47.888,-22.703,0.052,50.593,-50.541,BEFORE,END,-58.069,-34.532,-92.601,-58.195,-34.659,-92.854,,,,,,,False,False,False,True,False,False,False,True,False,False,0.0401,-1.0973,-0.8564
1782886833.473,16556,100.0,0.0,100.0,bear,30565.41402590076,0.0,0.13463913401978359,0.0,15,1,100.0,17.536582047708077,82.46341795229193,64.92683590458385,bear,16567.645000000215,79490.62653626008,0.4231319256503404,-0.005614510722406616,7,0,0.0,35.22397278039342,64.77602721960658,29.55205443921316,seller,0.9809472108004492,1.0377733767001736,3,0,12,11.847961485130835,34.78387264532978,bear,34.78387264532978,0.0,34.78387264532978,34.78387264532978,0,16,704.4049999713898,227017.31000000003,140492.8 | 86524.5,-53968.3700000004,3300.0500000007487,11937.649999997544,14358.540000001938,12977.729999996798,10018.410000001935,0.9809472108004492,1.0377733767001736,1478.9831715834143,-0.37338311774903477,75.987,1.349,74.638,23.969,47.242,-23.273,0.044,51.409,-51.365,BEFORE,END,-60.388,-36.851,-97.239,-56.621,-33.084,-89.705,,,,,,,False,False,False,True,False,False,False,True,False,False,0.0669,-1.0708,-0.8299
1782886857.363,16557,100.0,0.0,100.0,bear,32096.126475136654,0.0,0.14161508497891567,0.0,15,1,100.0,18.736465004349924,81.26353499565008,62.52706999130015,bear,16567.645000000215,79815.3890870239,0.42526289187366906,-0.011189244616386965,6,0,0.0,34.580644430591164,65.41935556940884,30.838711138817665,seller,0.9588315433012181,1.0448267337703459,3,0,11,33.4587061398281,64.65607677581743,bear,64.65607677581743,0.0,64.65607677581743,64.65607677581743,0,16,698.125,226643.415,142348.3 | 84295.1,-58053.21500000043,-1334.1100000012666,12107.919999997393,14108.110000001938,15106.35999999747,12443.780000003127,0.9588315433012181,1.0448267337703459,1485.861224550412,-0.37343291544411994,76.961,1.204,75.757,23.001,46.79,-23.789,0.038,52.006,-51.968,BEFORE,END,-60.11,-36.573,-96.683,-55.962,-32.425,-88.387,,,,,,,False,False,False,True,False,False,False,True,False,False,0.0803,-1.0576,-0.7095
1782886872.568,16558,82.39624490203371,17.60375509796629,64.79248980406742,bear,32096.126475136654,6857.258491979485,0.17225091787330535,-0.01920886747398735,14,2,0.0,20.356199294704826,79.64380070529518,59.287601410590355,bear,18365.956508020514,71856.95908702373,0.39896353134834334,-0.010560978245463381,5,0,100.0,36.840477690078046,63.159522309921954,26.31904461984391,seller,1.021362871935634,1.0505557465948019,4,0,10,61.94199519524937,45.17990363229526,bull,45.17990363229526,38.79364606549046,6.386257566804804,64.65607677581743,1,16,695.4240000247955,226143.26500000004,139708.0 | 86435.3,-53272.705000000045,182.09000000171727,11688.329999997393,14376.280000003877,13967.29999999732,11915.220000002233,1.021362871935634,1.0505557465948019,1492.7797078320295,-0.2936073668757681,76.988,1.218,75.77,22.976,46.408,-23.433,0.036,52.373,-52.337,BEFORE,END,-49.368,-25.832,-75.2,-51.29,-27.754,-79.044,,,,,,,False,False,False,True,False,False,False,True,False,False,0.0669,-1.0708,-0.7228
1782886900.983,16559,80.96040247565493,19.039597524345076,61.92080495130985,bear,32096.126475136654,6857.258491979485,0.17253618135673646,-0.019036622132566534,13,2,50.0,18.874575236992293,81.1254247630077,62.25084952601541,bear,18365.956508020514,78939.31408702352,0.43099411844504876,-0.012215477792145688,4,0,0.0,37.33276545844886,62.66723454155114,25.334469083102285,seller,1.0291701124137658,1.049417747445446,4,0,9,49.60166173821576,27.107942179377154,bull,27.107942179377154,23.27618763929427,3.8317545400828825,64.65607677581743,1,16,656.6170001029968,225769.37000000002,138108.1 | 87661.3,-50446.74999999962,-5630.609999999397,11058.389999998883,13327.970000002013,15726.769999999775,14290.20000000052,1.0291701124137658,1.049417747445446,1510.2760876609393,-0.47999999999999926,77.162,1.218,75.944,22.803,45.932,-23.129,0.034,52.85,-52.815,BEFORE,END,-49.145,-25.608,-74.753,-50.236,-26.699,-76.935,,,,,,,False,False,False,True,False,False,False,True,False,False,0.1608,-0.978,-0.6029
1782886920.792,16560,79.47532599066436,20.52467400933564,58.95065198132872,bear,29158.51591297329,6857.258491979485,0.15978925222413082,-0.018729357694794526,12,2,50.0,18.089224657275945,81.91077534272405,63.8215506854481,bear,18365.956508020514,88620.44408702353,0.47466081825752726,-0.01358039157263007,3,0,0.0,36.49039269246638,63.50960730753362,27.019214615067245,seller,1.0147375107888004,1.029797553086787,4,0,8,31.108668727235305,16.26476530762629,bull,16.26476530762629,13.965712583576561,2.29905272404973,64.65607677581743,1,16,656.6619999408722,225395.47500000003,138611.2 | 86784.3,-51826.96499999959,-11784.630000000769,9237.999999998881,11754.260000002432,17426.400000001042,15350.49000000104,1.0147375107888004,1.029797553086787,1508.9927617585656,-0.6397441023590617,77.544,1.193,76.351,22.425,45.443,-23.018,0.032,53.365,-53.333,BEFORE,END,-49.216,-25.68,-74.896,-53.97,-30.433,-84.403,,,,,,,False,False,False,True,False,False,False,True,False,False,0.2817,-0.8585,-0.4829
1782886932.842,16561,82.6852181969407,17.314781803059297,65.3704363938814,bear,32746.235043050525,6857.258491979485,0.17601934839798633,-0.015450385739539583,11,3,100.0,19.676115981340217,80.32388401865978,60.64776803731957,bear,18365.956508020514,84741.20995694645,0.45826402259874366,-0.012722909955647274,2,0,0.0,37.38286126344204,62.61713873655796,25.234277473115924,seller,1.021088799085921,1.0268042128739623,4,0,7,44.38816001808974,9.758859184575774,bull,9.758859184575774,8.379427550145936,1.3794316344298383,64.65607677581743,1,16,573.7230000495911,224995.11500000005,138319.7 | 86675.4,-51644.294999999984,-18627.66000000014,7860.639999999255,8944.080000002905,19543.81000000149,15888.570000000816,1.021088799085921,1.0268042128739623,1572.0126097379778,-0.6133333333333251,77.422,1.216,76.206,22.546,45.304,-22.758,0.032,53.479,-53.447,BEFORE,END,-49.581,-26.045,-75.626,-53.96,-30.423,-84.383,,,,,,,False,False,False,True,False,False,False,True,False,False,0.2951,-0.8452,-0.483
